frame,time_s,person,L Knee Flex,R Knee Flex,L Hip Flex,R Hip Flex,L Elbow Flex,R Elbow Flex,L Shoulder Flex,R Shoulder Flex,Trunk Inclination
142,7.100000,0,171.0951,169.8560,173.9007,163.9644,144.9362,157.9948,21.3249,25.7963,7.4092
143,7.150000,0,173.0949,169.9588,177.0236,165.3827,145.0243,158.4163,21.5446,25.1356,5.8203
144,7.200000,0,173.9929,170.8060,178.2982,166.9682,145.2189,158.4077,22.2540,24.2896,4.3544
145,7.250000,0,175.0920,171.2011,176.9055,167.9480,146.7336,157.7597,23.0405,23.6592,3.3366
146,7.300000,0,176.4387,171.9972,174.6069,168.5516,148.6561,156.9363,23.4217,23.0780,2.9207
147,7.350000,0,177.0032,173.0164,172.7346,168.7621,149.5872,155.6169,23.6237,22.6321,3.1800
148,7.400000,0,177.1012,174.0223,171.8829,168.8996,149.3202,155.2853,23.6840,22.2153,3.4351
149,7.450000,0,176.6873,174.4517,171.7529,169.0969,150.1590,153.5015,23.3759,21.8240,3.6357
150,7.500000,0,176.5473,175.1801,171.1128,169.1162,151.2181,153.2419,23.0239,21.4558,3.9042
151,7.550000,0,175.8069,175.4585,171.4843,169.9264,151.5078,153.2413,22.5314,20.8774,3.6360
152,7.600000,0,175.3478,175.4787,171.5767,169.9985,152.2639,154.2751,22.0666,19.9662,3.6167
153,7.650000,0,176.2786,176.1348,170.8954,169.4407,153.8281,154.7509,21.2955,19.1442,3.8842
154,7.700000,0,177.5981,176.8309,169.9733,169.0114,155.2440,154.9510,20.4246,18.2634,4.0741
155,7.750000,0,178.4878,177.2592,169.4207,169.0139,155.8034,154.8730,19.9252,17.6110,3.8921
156,7.800000,0,178.0102,177.5264,168.5992,169.4048,155.4231,155.4756,19.5394,16.9472,3.6751
157,7.850000,0,176.7586,177.7441,167.4891,169.7378,154.6721,157.5926,19.7417,16.4438,3.7460
158,7.900000,0,175.6714,178.1525,167.2298,170.1975,155.3842,161.0940,19.4913,17.3820,3.7485
159,7.950000,0,175.5253,178.4658,167.3250,170.1526,156.0894,165.8372,19.2083,20.8478,3.8153
160,8.000000,0,175.0149,178.4020,167.0318,170.1260,156.6919,171.1105,19.2795,28.7930,3.8794
161,8.050000,0,174.7513,178.1782,166.7150,169.6881,157.7134,,19.3013,39.4639,4.1218
162,8.100000,0,174.5477,177.6927,166.4503,169.1362,158.4812,,19.5721,51.7548,4.3818
163,8.150000,0,174.9920,177.5453,166.7768,168.9236,159.0054,,19.9131,67.5906,4.5574
164,8.200000,0,174.5398,176.7826,166.6872,168.3206,158.9292,,19.8332,86.4533,4.6197
165,8.250000,0,174.9541,176.0228,166.9510,168.1154,158.4675,,20.1193,107.0115,4.6657
166,8.300000,0,175.2444,175.6848,166.7851,167.4335,159.6848,74.0922,20.4007,124.8325,5.0277
167,8.350000,0,175.4149,175.5004,166.4591,167.1085,160.7553,143.0060,20.2967,136.8665,5.5192
168,8.400000,0,175.5831,175.5424,166.0363,167.4047,162.2647,144.0889,20.0123,146.3585,5.7954
169,8.450000,0,175.6079,175.6940,165.7694,167.3022,162.9203,147.4211,19.9455,153.7221,6.2376
170,8.500000,0,175.2649,176.2271,165.3163,166.9949,163.4011,146.5888,19.8191,156.7618,6.7265
171,8.550000,0,175.4146,176.0569,164.4750,166.2358,163.4985,145.9783,20.0093,157.3407,7.3083
172,8.600000,0,175.8177,176.0777,163.6483,165.7350,163.7982,146.9106,20.1033,156.4428,7.8008
173,8.650000,0,176.1083,175.8606,162.5177,164.7518,164.3717,149.0179,20.1104,154.3431,8.5185
174,8.700000,0,176.1837,176.0273,161.8824,164.1258,164.4470,152.1229,20.1167,153.5822,9.0275
175,8.750000,0,175.7897,175.9475,161.7019,164.1449,164.6080,154.4980,19.9791,153.6820,9.1868
176,8.800000,0,175.4861,175.9516,161.0828,164.2149,164.6032,157.4087,19.9254,154.4090,9.4049
177,8.850000,0,174.9079,175.8241,160.2210,163.5508,164.4132,159.5218,20.2674,153.2227,9.7214
178,8.900000,0,174.5591,175.6042,159.4557,162.8585,163.6280,164.2497,20.6788,151.3579,9.9997
179,8.950000,0,174.6917,175.7912,159.1884,162.5746,163.7376,168.2792,20.9657,147.9580,10.0775
180,9.000000,0,174.9207,175.9250,158.9550,162.6157,162.7339,170.2540,21.3086,142.2449,9.9983
181,9.050000,0,173.7596,175.6164,158.5249,162.2785,161.6850,175.3328,21.7516,134.5044,10.0055
182,9.100000,0,173.4197,175.2551,158.8362,162.1483,160.2774,178.0836,21.9351,124.9568,9.9289
183,9.150000,0,173.3342,174.9561,159.4738,162.3535,159.1741,176.9281,21.8886,113.9339,9.5866
184,9.200000,0,173.6573,175.4545,160.3316,162.4192,158.5949,175.9959,21.7259,102.0182,9.2560
185,9.250000,0,173.4042,175.5488,160.6627,162.9339,157.9393,,21.8012,89.8188,8.9890
186,9.300000,0,173.5979,175.8754,161.2239,163.0920,156.9444,168.4941,21.7906,77.5586,8.8507
187,9.350000,0,173.6294,175.0709,161.7977,162.9627,156.7466,172.6996,21.3864,65.9468,8.4709
188,9.400000,0,173.5047,174.9868,161.7736,163.4869,156.1526,175.6492,21.2667,55.0502,8.2803
189,9.450000,0,173.6517,175.5347,161.7603,163.7352,156.1809,176.0894,21.2048,45.2584,8.1225
190,9.500000,0,173.6588,176.0986,161.8170,163.7669,155.9392,174.2847,21.1199,36.6368,8.1074
191,9.550000,0,173.2773,175.8634,161.5571,163.3581,155.8690,173.8054,21.2222,29.1176,8.2528
192,9.600000,0,173.5649,175.8844,161.7487,163.0794,155.7881,173.1420,21.1378,23.4916,8.3514
193,9.650000,0,174.1386,175.2805,162.5298,162.7464,155.8589,172.0042,20.9422,19.8605,8.1609
194,9.700000,0,174.5212,175.3630,163.3774,163.2780,156.6392,171.4807,20.3709,18.9151,7.7554
195,9.750000,0,174.4592,175.6396,163.2075,163.4499,156.8201,172.3456,20.1481,20.7028,7.8200
196,9.800000,0,174.4607,175.7585,163.2248,164.1485,157.2132,172.8378,19.6245,25.2516,7.5198
197,9.850000,0,174.6102,175.6728,163.6595,164.3028,157.4126,174.1307,19.1387,33.0327,7.2972
198,9.900000,0,174.3362,175.9078,163.2678,164.2356,157.6215,173.0076,19.4168,42.6555,7.3911
199,9.950000,0,173.7013,175.5466,163.2003,164.6785,158.1650,,19.2496,53.8735,7.2076
200,10.000000,0,173.6661,175.5282,163.0254,164.5642,157.8683,,19.5146,67.3134,7.4311
201,10.050000,0,173.7916,175.4639,163.1609,164.7741,158.0119,,19.9247,82.7232,7.5739
202,10.100000,0,173.0419,174.8049,162.5584,164.5492,158.3226,,19.9120,98.8378,7.6406
203,10.150000,0,173.7473,174.5013,162.7482,164.3826,159.0992,112.1052,20.0644,115.4567,7.7024
204,10.200000,0,174.0473,174.4964,162.5770,164.1758,159.4061,168.8050,20.1035,126.9695,7.9230
205,10.250000,0,174.8058,174.1013,162.7857,163.9787,160.4973,156.0778,19.9837,136.0777,8.2084
206,10.300000,0,175.3909,174.1355,162.8912,164.1031,161.7511,156.5200,19.7785,143.8616,8.4524
207,10.350000,0,176.0648,174.7516,163.3945,165.0062,162.1395,155.8261,19.5290,149.9935,8.2881
208,10.400000,0,176.4124,175.0283,163.0804,165.3996,163.0574,155.1059,19.3919,154.5140,8.4773
209,10.450000,0,176.4422,175.2426,162.9705,165.0851,162.2607,153.9078,19.4606,156.3241,8.7857
210,10.500000,0,176.5602,175.9980,162.8106,165.0779,162.2731,152.4868,19.4949,156.3219,9.1578
211,10.550000,0,176.6548,176.5973,162.4433,164.7102,162.1027,152.7626,19.4825,154.8048,9.5776
212,10.600000,0,176.7634,177.0482,162.4756,164.9836,162.1475,153.9512,19.5830,153.7795,9.6521
213,10.650000,0,177.0270,177.4810,161.6212,165.0564,161.5396,156.0228,19.7633,153.2626,9.7690
214,10.700000,0,177.0883,177.2268,161.4116,165.0571,161.4523,158.5545,19.7227,153.5422,9.6593
215,10.750000,0,176.6108,176.8155,161.1789,164.7936,161.5224,160.5002,19.9118,152.2190,9.6894
216,10.800000,0,176.4289,176.1142,161.0723,164.7713,162.7205,163.6745,19.8225,148.8046,9.5148
